student_id,year,country,mother_educ,father_educ,gender,math,read,science,stu_wgt,computer,internet,room,television,computer_n,car,book,wealth,escs
22744,2012,MEX,5,5,female,417.8299,502.9611,439.2391,17.5174,yes,yes,yes,3+,1,1,0-10,Moderate,Lower
22724,2012,MEX,3,3,female,470.9534,476.1134,438.5863,17.5174,yes,no,no,2,1,1,0-10,Low,Lower
28668,2012,MEX,2,3,male,418.453,449.2314,385.621,89.4545,yes,yes,no,2,1,1,0-10,Moderate,Lower
23801,2012,MEX,1,3,female,453.5831,477.6226,429.9142,18.029,no,no,yes,1,0,0,11-25,Low,Lower
48402744,2018,MEX,5,5,female,395.43,380.554,399.995,311.29993,no,no,yes,2,0,1,0-10,Low,Lower
26398,2012,MEX,3,3,male,438.1601,440.2496,506.7512,48.1653,yes,yes,no,1,1,0,0-10,Low,Lower
28766,2012,MEX,5,5,female,395.0849,410.98,453.8791,68.7934,yes,yes,no,2,2,0,26-100,Moderate,Lower
12805,2012,MEX,5,3,female,507.7193,537.1164,503.301,14.0626,yes,yes,yes,3+,2,1,11-25,Moderate,Lower
17249,2012,MEX,1,3,female,433.4865,489.4578,484.3715,108.4475,yes,yes,no,2,1,0,0-10,Low,Lower
3142,2012,MEX,3,5,female,463.7093,554.6707,494.2559,7.8571,yes,no,yes,1,1,1,0-10,Moderate,Lower
12594,2012,MEX,2,2,male,378.7272,389.8874,383.7561,105.6888,no,no,yes,1,1,0,26-100,Low,Lower
26089,2012,MEX,3,5,male,416.3499,474.7332,427.7695,10.5532,no,no,yes,2,0,1,26-100,Low,Lower
26657,2012,MEX,2,2,female,480.1449,474.3659,472.8087,5.5857,no,no,no,1,0,1,0-10,Low,Lower
20073,2012,MEX,5,3,female,406.8469,412.4098,416.4864,26.0654,yes,yes,no,2,1,2,0-10,Moderate,HIgher
17483,2012,MEX,4,3,female,307.065,345.0523,347.5755,26.0683,yes,yes,yes,2,1,2,0-10,Moderate,HIgher
2062,2012,MEX,5,2,male,283.7747,199.6661,312.0477,34.3915,no,no,yes,1,0,0,0-10,Low,Lower
1009,2012,MEX,4,4,female,410.1184,425.1187,369.6755,24.169,yes,yes,yes,3+,2,3+,0-10,Moderate,Lower
17446,2012,MEX,5,5,female,335.8078,332.8993,417.5121,176.1286,yes,yes,no,3+,1,1,26-100,Moderate,Lower
33645,2012,MEX,4,4,female,438.0044,529.1733,449.1235,31.4875,yes,yes,yes,3+,2,1,26-100,Moderate,HIgher
48405467,2018,MEX,5,5,male,337.115,380.643,351.856,224.93049,no,no,no,1,0,0,11-25,Low,Lower
4513,2012,MEX,4,5,male,417.752,421.0029,418.3514,161.1099,no,yes,yes,3+,0,0,26-100,Moderate,Lower
14076,2012,MEX,3,3,female,378.7272,374.4417,336.3857,89.4545,no,no,no,2,0,0,0-10,Low,Lower
48402849,2018,MEX,5,4,male,396.21,397.379,474.44,330.03824,yes,yes,yes,3+,1,1,11-25,Moderate,Lower
48406414,2018,MEX,4,4,male,540.218,574.292,601.685,151.6751,yes,yes,no,3+,2,3+,26-100,Moderate,HIgher
48407029,2018,MEX,3,3,female,468.301,443.779,511.534,244.2553,no,no,no,2,0,1,11-25,Low,Lower
21919,2012,MEX,1,1,female,380.2851,453.8727,349.4405,46.4442,yes,no,no,0,1,1,26-100,Low,Lower
