Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2018,12,Female,17,Right-Handed,170,25,170,3,Car,10,0.396,55,Swimming,800,1000,700,600,100,900,25,Same length,110,100,Index finger,May,Summer,No,Yes,Breads/Sandwiches,Soft drink (caffeinated),Art,5,9,3,Yes - broadband connection,Text messaging,20,30,5,2,28,8,18,2,15,15,25,8,0,0,A lot,Graduate degree,Pop,Invisibility,Healthy,Actor,Health
USA,GA,2021,12,Female,16,Right-Handed,160,23,159,4,Bus,9,0.405,40,Running/Jogging,1000,866,882,914,299,492,24,Left foot,76,63.5,Index finger,July,Winter,No,No,Pizza/Pasta,Juice,Languages,8,10,7,Yes - other,"Myspace, Facebook, other social networking sites, or blog",25,20,0,0,7,10,0,20,10,20,20,5,0,7,Some,Some college,Pop,Invisibility,Healthy,Religious figure,Health
USA,CA,2024,12,Female,17,Left-Handed,163,23,170,2,Walk,13,0.346,41,Bowling,610,615,759,401,134,925,24,Left foot,80,72,Ring finger,November,Fall,No,No,Breads/Sandwiches,Water,Art,6,9,4,Yes - broadband connection,Text messaging,200,250,3,2,8,1,0,0,20,25,25,3,7,2,Some,Graduate degree,Pop,Fly,Happy,Actor,Health
USA,CA,2018,12,Female,16,Right-Handed,160,16.51,158.8,2,Car,8,0.733,43,Lacrosse,900,900,750,700,800,999,16.51,Same length,63.5,64.5,Ring finger,November,Fall,No,No,Pizza/Pasta,Juice,Languages,7,9,6,Yes - other,Text messaging,75,100,10,2,7,25,8,0,15,15,10,10,0,4,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Education/Youth development
USA,CA,2021,9,Male,14,Right-Handed,165,19,180,2,Bus,30,0.407,63,Soccer,1000,500,400,800,100,500,24,Same length,80,80,Same length,May,Winter,Yes,No,Seafood,Water,Science,8,9,4,Yes - other,Text messaging,20,18,20,0,10,6,40,1,0,10,20,0,0,0,Some,Some college,Other,Super strength,Rich,Relative,"Wildlife, animals"
USA,GA,2014,9,Female,13,Ambidextrous,171,23,178,4,Bus,20,0.328,32,Swimming,102,481,1000,754,32,364,23,Same length,80,90,Ring finger,May,Spring,Yes,No,Desserts,Soft drink (non-caffeinated),Languages,7,12,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",1,3,2,4,7,15,14,1,21,0,1,21,0,3,Some,Other,Rap/Hip hop,Telepathy,Happy,Musician or singer,Health
USA,CA,2012,12,Female,17,Right-Handed,154,22,150,2,Car,3,0.787,49,Dancing,800,800,1000,1000,1000,1000,22,Same length,65,60,Index finger,July,Summer,Yes,No,Pizza/Pasta,Coffee,Social studies,7,9,3,Yes - broadband connection,Text messaging,50,50,7,0.5,8,2,20,0,1,15,15,7,8,0,A lot,Undergraduate degree,Country,Fly,Happy,Sports person,"Wildlife, animals"
USA,CA,2021,12,Female,16,Right-Handed,174,23,166,1,Car,25,0.357,38,Soccer,781,663,610,487,321,707,23,Same length,75,77.5,Ring finger,October,Summer,No,No,Pizza/Pasta,Water,English,7,9,3,Yes - other,Text messaging,300,300,16,5,3,10,12,0,20,24,40,2,0,3,Some,Graduate degree,Pop,Freeze time,Happy,Sports person,Education/Youth development
USA,CA,2012,12,Female,17,Right-Handed,165,22,164,1,Car,15,0.885,57,Basketball,1000,487,497,406,294,775,25,Right foot,85,85,Same length,June,Summer,No,No,Meat,Water,English,7,10,4,Yes - other,Text messaging,70,70,10,1,4,4,12,0,8,10,3,4,0,5,Some,Graduate degree,Rock and roll,Fly,Happy,Relative,Health
USA,GA,2017,9,Female,15,Right-Handed,182,28.57,182,2,Car,15,0.32,35,Hockey (Ice),5,11,102,123,658,674,27,Right foot,77,81,Ring finger,October,Winter,Yes,No,Poultry,Water,Physical education,6,7,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,100,5,5,10,2,20,5,15,10,10,20,0,5,Some,Undergraduate degree,Rap/Hip hop,Super strength,Happy,Community leader or elder,Health
