Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours
USA,CT,2020,12,Male,16,Right-Handed,170,25,182,1,Car,7,0.497,42,Swimming,300,400,500,300,300,700,25,Same length,70,75,Ring finger,December,Winter,Yes,No,Meat,Water,Mathematics and statistics,9,10,4,Yes - other,Text messaging,17,30,3,0.2,10,5,5,0,2,3,5
USA,TN,2020,12,Female,16,Ambidextrous,175,27,195,2,Car,15,0.389,52,Martial Arts,850,725,900,876,861,893,24,Right foot,85,80,Index finger,April,Winter,Yes,Yes,Soups,Tea,Social studies,5,7,3,Yes - broadband connection,Cell phone,31,25,0,5,10,64,0,0,0,27,46
USA,CT,2020,12,Female,17,Right-Handed,155,20,157,3,Car,8,0.348,37,Gymnastics,500,600,500,500,800,800,20,Same length,66,62,Index finger,October,Summer,Yes,Yes,Salads,Water,Art,8,9,4,Yes - other,Text messaging,15,15,10,1,1,0,10,15,30,10,15
USA,TN,2020,12,Male,17,Left-Handed,172,24,160,1,Car,8,0.346,37,Other,209,374,460,439,600,925,26,Left foot,77,78,Ring finger,March,Fall,Yes,No,Meat,Water,Physical education,8,8,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",15,10,10,1,12,3,5,0,30,1,35
USA,TN,2020,12,Female,17,Right-Handed,163,22,160,1,Car,35,0.803,58,Other,998,800,400,400,100,999,23,Left foot,100,300,Index finger,March,Summer,No,No,Seafood,Water,History,3,10,3,Yes - other,Text messaging,40,10,48,4,10,5,2,0,19,6,49
USA,TN,2020,12,Male,17,Right-Handed,173,25,179,1,Car,15,0.361,67,Baseball/Softball,600,700,750,750,1000,850,25,Same length,80,50,Ring finger,September,Spring,No,No,Pizza/Pasta,Sports drink,English,7,10,6,Yes - broadband connection,Cell phone,80,75,15,25,3,3,12,5,1,15,10
USA,CT,2020,12,Female,17,Right-Handed,170,27,164,1,Car,15,0.458,48,Gymnastics,11,11,193,64,1000,1000,27,Same length,76,77,Ring finger,September,Summer,No,No,Meat,Milk,Mathematics and statistics,6.5,8,5,Yes - broadband connection,Text messaging,150,150,2,0.5,3,6,0,0,4.5,8,20
USA,TN,2020,6,Female,12,Right-Handed,163,23,162,3,Car,20,0.305,49,Other,1000,1000,1000,1000,50,200,23,Same length,90,100,Ring finger,February,Summer,No,No,Other,Water,English,6,5,3,Yes - broadband connection,Text messaging,50,60,33,3,7,1,7,0,0,4,2
USA,TN,2020,12,Female,18,Right-Handed,157.5,28,162.6,1,Car,10,0.412,32,Swimming,620,535,850,920,1000,1000,28,Same length,80,70,Index finger,November,Spring,No,No,Meat,Water,Science,7,9,5,Yes - broadband connection,Text messaging,20,22,20,10,15,25,10,0,20,30,30
USA,TN,2020,12,Male,17,Right-Handed,180.34,30,187,1,Car,20,0.32,42,Martial Arts,1000,1000,1000,1000,500,500,30,Same length,75,90,Ring finger,February,Winter,No,No,Meat,Water,Art,8,8,5,Yes - other,In person,15,8,3,1,2,15,8,14,6,4,6
